Step,Bx,By,Bz,Bm
573,0.0368588,0.236646,2.64184,2.65267
574,0.0384448,0.238151,2.79058,2.80099
575,0.0431168,0.234586,2.83319,2.84321
576,0.0334115,0.245761,2.81929,2.83018
577,0.0397183,0.242637,2.73695,2.74797
578,0.0462274,0.231058,2.72824,2.7384
579,0.0408374,0.234698,2.65879,2.66944
580,0.0396997,0.235463,2.59927,2.61021
581,0.0478833,0.228806,2.59237,2.60289
582,0.0533197,0.224109,2.61401,2.62414
583,0.0450684,0.228809,2.621,2.63136
584,0.0436253,0.236419,2.60517,2.61624
585,0.0427939,0.243993,2.69562,2.70698
586,0.0459933,0.2518,2.69553,2.70766
587,0.0522735,0.25123,2.68812,2.70034
588,0.0382584,0.250286,2.70952,2.72133
589,0.0428376,0.254797,2.71542,2.72768
590,0.044528,0.255207,2.73073,2.74299
591,0.0437748,0.257568,2.66534,2.67811
592,0.0412189,0.258045,2.66763,2.6804
593,0.0468267,0.258296,2.63486,2.6479
594,0.0472028,0.258956,2.56049,2.57398
595,0.0474417,0.25833,0.426972,0.501288
596,0.0410184,0.257194,0.427041,0.500195
597,0.0458705,0.252745,0.419231,0.491669
598,0.0556982,0.257685,0.421825,0.497434
599,0.0536506,0.260961,0.422817,0.499753
600,0.0561588,0.259859,0.414106,0.492102
601,0.0458881,0.264627,0.411416,0.491321
602,0.0457689,0.268542,0.421048,0.501489
603,0.0517354,0.271077,0.422308,0.504483
604,0.0536037,0.269592,0.420935,0.502732
605,0.047963,0.272611,0.415343,0.499126
606,0.0470933,0.275886,0.414415,0.500071
607,0.0494034,0.263615,0.426045,0.503435
608,0.0510108,0.26423,0.444837,0.519904
609,0.045083,0.265195,0.436452,0.51269
610,0.0430579,0.262153,0.444627,0.517949
611,0.0359886,0.261341,0.437148,0.510581
612,0.0346538,0.256264,0.446251,0.515763
613,0.0484873,0.252915,0.446927,0.515811
