PID,x0,xf,E0,Ef
202,-0.379583,-881867,100,99.9999
203,-0.379583,-881866,100,99.9999
204,-0.379583,-881866,100,99.9999
205,-0.379583,-881868,100,99.9999
206,-0.379583,-881867,100,99.9999
207,-0.379583,-881867,100,99.9999
208,-0.379583,-881867,100,99.9999
209,-0.379583,-881867,100,99.9999
210,-0.379583,-881867,100,99.9999
211,-0.379583,-881867,100,99.9999
212,-0.379583,-881867,100,99.9999
213,-0.379583,-881867,100,99.9999
214,-0.379583,-881868,100,99.9999
215,-0.379583,-881868,100,99.9999
216,-0.379583,-881868,100,99.9999
217,-0.379583,-881866,100,99.9999
218,-0.379583,-881867,100,99.9999
219,-0.379583,-881867,100,99.9999
220,-0.379583,-881866,100,99.9999
221,-0.379583,-881867,100,99.9999
222,-0.379583,-881867,100,99.9999
223,-0.379583,-881868,100,99.9999
224,-0.379583,-881868,100,99.9999
225,-0.379583,-881868,100,99.9999
226,-0.379583,-881867,100,99.9999
227,-0.379583,-881868,100,99.9999
228,-0.379583,-881868,100,99.9999
229,-0.379583,-881867,100,99.9999
230,-0.379583,-881867,100,99.9999
231,-0.379583,-881867,100,99.9999
232,-0.379583,-881868,100,99.9999
233,-0.379583,-881866,100,99.9999
234,-0.379583,-881867,100,99.9999
235,-0.379583,-881867,100,99.9999
236,-0.379583,-881866,100,99.9999
237,-0.379583,-881868,100,99.9999
238,-0.379583,-881867,100,99.9999
239,-0.379583,-881866,100,99.9999
240,-0.379583,-881868,100,99.9999
241,-0.379583,-881867,100,99.9999
242,-0.379583,-881868,100,99.9999
243,-0.379583,-881866,100,99.9999
244,-0.379583,-881867,100,99.9999
245,-0.379583,-881868,100,99.9999
246,-0.379583,-881867,100,99.9999
247,-0.379583,-881867,100,99.9999
248,-0.379583,-881867,100,99.9999
249,-0.379583,-881868,100,99.9999
250,-0.379583,-881868,100,99.9999
251,-0.379583,-881867,100,99.9999
252,-0.379583,-881868,100,99.9999
253,-0.379583,-881867,100,99.9999
254,-0.379583,-881868,100,99.9999
255,-0.379583,-881868,100,99.9999
256,-0.379583,-881868,100,99.9999
257,-0.379583,-881867,100,99.9999
258,-0.379583,-881867,100,99.9999
259,-0.379583,-881868,100,99.9999
260,-0.379583,-881867,100,99.9999
261,-0.379583,-881867,100,99.9999
262,-0.379583,-881868,100,99.9999
263,-0.379583,-881868,100,99.9999
264,-0.379583,-881867,100,99.9999
265,-0.379583,-881867,100,99.9999
266,-0.379583,-881867,100,99.9999
267,-0.379583,-881868,100,99.9999
268,-0.379583,-881868,100,99.9999
269,-0.379583,-881869,100,99.9999
270,-0.379583,-881868,100,99.9999
271,-0.379583,-881868,100,99.9999
272,-0.379583,-881867,100,99.9999
273,-0.379583,-881868,100,99.9999
274,-0.379583,-881867,100,99.9999
275,-0.379583,-881867,100,99.9999
276,-0.379583,-881867,100,99.9999
277,-0.379583,-881867,100,99.9999
278,-0.379583,-881866,100,99.9999
279,-0.379583,-881868,100,99.9999
280,-0.379583,-881868,100,99.9999
281,-0.379583,-881867,100,99.9999
282,-0.379583,-881868,100,99.9999
283,-0.379583,-881867,100,99.9999
284,-0.379583,-881867,100,99.9999
285,-0.379583,-881868,100,99.9999
286,-0.379583,-881867,100,99.9999
287,-0.379583,-881866,100,99.9999
288,-0.379583,-881866,100,99.9999
289,-0.379583,-881868,100,99.9999
290,-0.379583,-881868,100,99.9999
291,-0.379583,-881867,100,99.9999
292,-0.379583,-881867,100,99.9999
293,-0.379583,-881869,100,99.9999
294,-0.379583,-881867,100,99.9999
295,-0.379583,-881867,100,99.9999
296,-0.379583,-881868,100,99.9999
297,-0.379583,-881868,100,99.9999
298,-0.379583,-881867,100,99.9999
299,-0.379583,-881868,100,99.9999
300,-0.379583,-881867,100,99.9999
301,-0.379583,-881867,100,99.9999
302,-0.379583,-881868,100,99.9999
303,-0.379583,-881867,100,99.9999
304,-0.379583,-881867,100,99.9999
305,-0.379583,-881867,100,99.9999
306,-0.379583,-881867,100,99.9999
307,-0.379583,-881868,100,99.9999
308,-0.379583,-881868,100,99.9999
309,-0.379583,-881866,100,99.9999
310,-0.379583,-881866,100,99.9999
311,-0.379583,-881867,100,99.9999
312,-0.379583,-881868,100,99.9999
313,-0.379583,-881868,100,99.9999
314,-0.379583,-881866,100,99.9999
315,-0.379583,-881867,100,99.9999
316,-0.379583,-881867,100,99.9999
317,-0.379583,-881868,100,99.9999
318,-0.379583,-881868,100,99.9999
319,-0.379583,-881867,100,99.9999
320,-0.379583,-881868,100,99.9999
