PID,weight,x,y,z,vx,vy,vz
5,1,-3.389e+11,-7.70467e+11,1.95857e+11,5.58465e+07,3.13951e+07,-8.64624e+06
5,1,-3.32413e+11,-7.70892e+11,1.96815e+11,5.66034e+07,3.07535e+07,-9.4903e+06
5,1,-3.34078e+11,-7.73698e+11,1.9571e+11,5.73458e+07,3.00709e+07,-1.03141e+07
5,1,-3.37659e+11,-7.72964e+11,2.03045e+11,5.8072e+07,2.93466e+07,-1.1122e+07
5,1,-3.33232e+11,-7.71485e+11,1.98372e+11,5.87798e+07,2.85793e+07,-1.19189e+07
5,1,-3.33109e+11,-7.69024e+11,2.01459e+11,5.94664e+07,2.77681e+07,-1.27086e+07
5,1,-3.32402e+11,-7.68747e+11,2.01745e+11,6.01284e+07,2.69129e+07,-1.34931e+07
5,1,-3.33554e+11,-7.67766e+11,2.00812e+11,6.07617e+07,2.6015e+07,-1.42719e+07
5,1,-3.27631e+11,-7.72825e+11,1.94152e+11,6.13618e+07,2.50781e+07,-1.50425e+07
5,1,-3.31548e+11,-7.69827e+11,1.96199e+11,6.19244e+07,2.41075e+07,-1.5801e+07
5,1,-3.30095e+11,-7.7156e+11,1.97459e+11,6.2446e+07,2.31092e+07,-1.65427e+07
5,1,-3.32188e+11,-7.7163e+11,1.98689e+11,6.2925e+07,2.20892e+07,-1.72635e+07
5,1,-3.32822e+11,-7.68125e+11,2.0113e+11,6.33617e+07,2.10518e+07,-1.79603e+07
5,1,-3.27165e+11,-7.70797e+11,2.0023e+11,6.37583e+07,1.99988e+07,-1.86309e+07
5,1,-3.31296e+11,-7.67793e+11,1.94738e+11,6.4118e+07,1.89301e+07,-1.92742e+07
5,1,-3.29429e+11,-7.68604e+11,1.96724e+11,6.44437e+07,1.78441e+07,-1.989e+07
5,1,-3.22961e+11,-7.68362e+11,1.99674e+11,6.47373e+07,1.67394e+07,-2.04787e+07
