PID,weight,x0,xf,E0,Ef
8,4,-8.15466e+11,2.08789e+12,0,5.60559e-09
8,5,-8.12482e+11,2.08789e+12,0,5.60559e-09
8,6,-8.10208e+11,2.08789e+12,0,5.60559e-09
8,1,-8.03731e+11,2.08789e+12,0,5.60559e-09
8,2,-8.04714e+11,2.08789e+12,0,5.60559e-09
8,3,-8.09204e+11,2.08789e+12,0,5.60559e-09
8,4,-8.05474e+11,2.08789e+12,0,5.60559e-09
8,5,-8.09014e+11,2.08789e+12,0,5.60559e-09
8,6,-8.0603e+11,2.08789e+12,0,5.60559e-09
8,7,-8.06625e+11,2.08789e+12,0,5.60559e-09
9,1,-8.18553e+11,2.08777e+12,0,1.0565e-08
9,1,-8.21631e+11,2.08789e+12,0,5.60559e-09
9,2,-8.21674e+11,2.08789e+12,0,5.60559e-09
9,1,-8.15278e+11,2.08789e+12,0,5.60559e-09
9,2,-8.10084e+11,2.0885e+12,0,2.95648e-09
9,3,-8.11899e+11,2.08808e+12,0,3.70185e-10
9,1,-8.05454e+11,2.08789e+12,0,5.60559e-09
9,2,-8.04354e+11,2.08789e+12,0,5.60559e-09
9,3,-8.02041e+11,2.08789e+12,0,5.60559e-09
9,4,-8.00977e+11,2.08789e+12,0,5.60559e-09
9,1,-7.93143e+11,2.08789e+12,0,5.60559e-09
9,2,-7.94143e+11,2.08789e+12,0,5.60559e-09
9,3,-7.91387e+11,2.08789e+12,0,5.60559e-09
9,4,-7.92777e+11,2.08871e+12,0,5.27848e-09
9,5,-7.95606e+11,2.08789e+12,0,5.60559e-09
9,1,-7.78406e+11,2.08789e+12,0,5.60559e-09
9,2,-7.76868e+11,2.08789e+12,0,5.60559e-09
9,3,-7.81414e+11,2.08789e+12,0,5.60559e-09
9,4,-7.74635e+11,2.08789e+12,0,5.60559e-09
9,5,-7.78453e+11,2.08789e+12,0,5.60559e-09
9,6,-7.78441e+11,2.08789e+12,0,5.60559e-09
9,1,-7.62391e+11,2.08789e+12,0,5.60559e-09
9,2,-7.63409e+11,2.08845e+12,0,2.45827e-09
9,3,-7.58837e+11,2.08789e+12,0,5.60559e-09
9,4,-7.58772e+11,2.08789e+12,0,5.60559e-09
9,5,-7.58407e+11,2.08806e+12,0,1.12194e-08
9,6,-7.63431e+11,2.08789e+12,0,5.60559e-09
9,7,-7.6485e+11,2.08789e+12,0,5.60559e-09
9,1,-5.32952e+10,2.08789e+12,0,5.60559e-09
9,2,-5.42228e+10,2.08789e+12,0,5.60559e-09
9,3,-5.32512e+10,2.08784e+12,0,1.43588e-08
9,4,-5.16613e+10,2.08789e+12,0,5.60559e-09
9,5,-5.11947e+10,2.08789e+12,0,5.60559e-09
9,6,-4.90722e+10,2.08789e+12,0,5.60559e-09
