Step,Bx,By,Bz,Bm
255,9.72171e-09,1.0657e-07,6.86361e-07,6.94653e-07
256,1.04535e-08,1.0224e-07,6.86933e-07,6.94579e-07
257,9.74082e-09,9.7313e-08,6.89172e-07,6.96077e-07
258,7.81962e-09,9.22214e-08,6.92751e-07,6.98906e-07
259,5.52438e-09,8.73712e-08,6.97118e-07,7.02594e-07
260,3.98231e-09,8.31214e-08,7.01612e-07,7.06529e-07
261,4.19974e-09,7.97656e-08,7.05592e-07,7.10099e-07
262,6.69727e-09,7.75181e-08,7.08571e-07,7.1283e-07
263,1.13254e-08,7.65085e-08,7.10308e-07,7.14507e-07
264,1.7323e-08,7.67834e-08,7.10851e-07,7.15195e-07
265,2.35906e-08,7.83124e-08,7.10515e-07,7.15207e-07
266,2.90748e-08,8.09912e-08,7.09807e-07,7.15004e-07
267,3.31226e-08,8.46383e-08,7.09308e-07,7.15107e-07
268,3.56769e-08,8.89844e-08,7.09533e-07,7.1598e-07
269,3.72472e-08,9.36612e-08,7.10819e-07,7.1793e-07
270,3.86713e-08,9.8203e-08,7.13242e-07,7.21009e-07
271,4.07573e-08,1.02073e-07,7.16586e-07,7.24966e-07
272,4.39433e-08,1.0472e-07,7.2037e-07,7.29267e-07
273,4.81062e-08,1.05673e-07,7.23927e-07,7.33179e-07
274,5.25991e-08,1.04634e-07,7.26511e-07,7.35889e-07
275,5.65107e-08,1.01582e-07,7.27424e-07,7.36654e-07
276,5.90515e-08,9.6815e-08,7.26146e-07,7.34948e-07
277,5.99108e-08,9.09441e-08,7.22434e-07,7.30596e-07
278,5.94286e-08,8.48136e-08,7.16394e-07,7.23841e-07
279,5.84966e-08,7.93606e-08,7.08511e-07,7.15338e-07
280,5.82073e-08,7.54422e-08,6.9962e-07,7.06079e-07
281,5.9389e-08,7.36714e-08,6.90824e-07,6.97275e-07
282,6.22173e-08,7.42987e-08,6.83355e-07,6.90192e-07
283,6.60802e-08,7.7171e-08,6.7839e-07,6.85955e-07
284,6.97732e-08,8.17755e-08,6.76842e-07,6.85325e-07
285,7.19654e-08,8.73575e-08,6.79166e-07,6.88532e-07
286,7.17589e-08,9.30808e-08,6.85219e-07,6.95225e-07
287,6.91088e-08,9.81941e-08,6.94223e-07,7.04531e-07
288,6.4916e-08,1.02166e-07,7.04855e-07,7.15173e-07
289,6.07257e-08,1.04766e-07,7.15452e-07,7.25627e-07
290,5.8137e-08,1.06074e-07,7.24307e-07,7.34338e-07
291,5.81584e-08,1.06422e-07,7.29987e-07,7.39993e-07
292,6.07928e-08,1.06297e-07,7.31596e-07,7.41774e-07
293,6.50454e-08,1.06213e-07,7.28927e-07,7.39491e-07
294,6.9366e-08,1.06596e-07,7.22461e-07,7.33569e-07
295,7.23311e-08,1.07708e-07,7.13226e-07,7.2493e-07
296,7.32504e-08,1.09617e-07,7.02561e-07,7.14825e-07
297,7.24066e-08,1.122e-07,6.91851e-07,7.0462e-07
298,7.08162e-08,1.15186e-07,6.82292e-07,6.95562e-07
299,6.96383e-08,1.18213e-07,6.7474e-07,6.88547e-07
300,6.95417e-08,1.20889e-07,6.69638e-07,6.84007e-07
301,7.03683e-08,1.22868e-07,6.67033e-07,6.81895e-07
302,7.12747e-08,1.2391e-07,6.66642e-07,6.81795e-07
303,7.12818e-08,1.23945e-07,6.67976e-07,6.83107e-07
304,6.99352e-08,1.23097e-07,6.70484e-07,6.85268e-07
305,6.77068e-08,1.21681e-07,6.73703e-07,6.87944e-07
306,6.58999e-08,1.20138e-07,6.77385e-07,6.91105e-07
307,6.60778e-08,1.18928e-07,6.81546e-07,6.94992e-07
308,6.92977e-08,1.18401e-07,6.86432e-07,7.00007e-07
309,7.55361e-08,1.1869e-07,6.92395e-07,7.06544e-07
310,8.36038e-08,1.19665e-07,6.99705e-07,7.1477e-07
311,9.16036e-08,1.20971e-07,7.08373e-07,7.24443e-07
312,9.7714e-08,1.22135e-07,7.18039e-07,7.34877e-07
313,1.0093e-07,1.22697e-07,7.27964e-07,7.45099e-07
314,1.01414e-07,1.22322e-07,7.3715e-07,7.5408e-07
315,1.00309e-07,1.20851e-07,7.44544e-07,7.60929e-07
316,9.91274e-08,1.18305e-07,7.49286e-07,7.65018e-07
317,9.90063e-08,1.14854e-07,7.50933e-07,7.66091e-07
318,1.00204e-07,1.1079e-07,7.49599e-07,7.64339e-07
319,1.02051e-07,1.06512e-07,7.45974e-07,7.60418e-07
320,1.03369e-07,1.02511e-07,7.41203e-07,7.55365e-07
321,1.03132e-07,9.93296e-08,7.36662e-07,7.50449e-07
322,1.01044e-07,9.74867e-08,7.33668e-07,7.46982e-07
323,9.77413e-08,9.73696e-08,7.33224e-07,7.46091e-07
324,9.45278e-08,9.91246e-08,7.35847e-07,7.48486e-07
325,9.27945e-08,1.02584e-07,7.41511e-07,7.54302e-07
326,9.33973e-08,1.07258e-07,7.49696e-07,7.63067e-07
327,9.62917e-08,1.12404e-07,7.59515e-07,7.73802e-07
328,1.00579e-07,1.17151e-07,7.69864e-07,7.85195e-07
329,1.04923e-07,1.20666e-07,7.79585e-07,7.95816e-07
330,1.08122e-07,1.22313e-07,7.87611e-07,8.04352e-07
331,1.09586e-07,1.21776e-07,7.93094e-07,8.09838e-07
332,1.09504e-07,1.19128e-07,7.95511e-07,8.118e-07
333,1.08684e-07,1.14817e-07,7.94724e-07,8.10297e-07
334,1.08144e-07,1.09589e-07,7.90999e-07,8.05844e-07
335,1.08669e-07,1.04349e-07,7.84953e-07,7.9928e-07
336,1.10506e-07,1.00004e-07,7.77444e-07,7.91601e-07
337,1.133e-07,9.72978e-08,7.69426e-07,7.83785e-07
338,1.1627e-07,9.66994e-08,7.61784e-07,7.7665e-07
339,1.18542e-07,9.83364e-08,7.55203e-07,7.70749e-07
340,1.19482e-07,1.01997e-07,7.50081e-07,7.66356e-07
341,1.18933e-07,1.07186e-07,7.46512e-07,7.63488e-07
342,1.17266e-07,1.13217e-07,7.44329e-07,7.61968e-07
343,1.15266e-07,1.19318e-07,7.43195e-07,7.61487e-07
344,1.13879e-07,1.24744e-07,7.4271e-07,7.61674e-07
345,1.13933e-07,1.28868e-07,7.42509e-07,7.62173e-07
346,1.15889e-07,1.31245e-07,7.42341e-07,7.6271e-07
347,1.19716e-07,1.31662e-07,7.42102e-07,7.6314e-07
348,1.24915e-07,1.3014e-07,7.41823e-07,7.63441e-07
349,1.30672e-07,1.2692e-07,7.41628e-07,7.63673e-07
350,1.36116e-07,1.22418e-07,7.41663e-07,7.63922e-07
351,1.40567e-07,1.17157e-07,7.42028e-07,7.64258e-07
352,1.43733e-07,1.1169e-07,7.42717e-07,7.64698e-07
353,1.45765e-07,1.06514e-07,7.43592e-07,7.65194e-07
354,1.47163e-07,1.02002e-07,7.44387e-07,7.6562e-07
355,1.48583e-07,9.83455e-08,7.44757e-07,7.65775e-07
356,1.5058e-07,9.55391e-08,7.44346e-07,7.6541e-07
357,1.53399e-07,9.33901e-08,7.42875e-07,7.64275e-07
358,1.56878e-07,9.15684e-08,7.40218e-07,7.6218e-07
359,1.60485e-07,8.96795e-08,7.36454e-07,7.59054e-07
360,1.63502e-07,8.735e-08,7.31881e-07,7.54992e-07
361,1.65279e-07,8.43067e-08,7.26981e-07,7.50284e-07
362,1.65481e-07,8.04338e-08,7.22353e-07,7.45418e-07
363,1.64241e-07,7.57942e-08,7.18612e-07,7.41028e-07
364,1.6215e-07,7.06104e-08,7.16285e-07,7.37796e-07
365,1.6008e-07,6.52112e-08,7.15724e-07,7.36301e-07
366,1.58896e-07,5.99568e-08,7.17037e-07,7.36875e-07
367,1.59138e-07,5.51627e-08,7.20074e-07,7.3951e-07
368,1.60811e-07,5.10409e-08,7.24443e-07,7.4383e-07
369,1.63341e-07,4.76705e-08,7.29568e-07,7.49147e-07
370,1.65747e-07,4.50025e-08,7.34776e-07,7.54581e-07
371,1.66963e-07,4.28948e-08,7.39396e-07,7.59225e-07
372,1.66211e-07,4.11644e-08,7.42857e-07,7.62336e-07
373,1.63288e-07,3.96432e-08,7.44773e-07,7.63493e-07
374,1.58654e-07,3.82235e-08,7.45008e-07,7.62672e-07
375,1.53283e-07,3.6883e-08,7.43704e-07,7.60232e-07
376,1.48321e-07,3.56869e-08,7.4127e-07,7.56805e-07
377,1.44663e-07,3.47706e-08,7.38321e-07,7.53163e-07
378,1.42625e-07,3.43116e-08,7.35585e-07,7.5007e-07
379,1.4182e-07,3.44981e-08,7.33764e-07,7.4814e-07
380,1.41319e-07,3.55e-08,7.33397e-07,7.47731e-07
